as_of,instrument,notional_ntd_k,traditional,entity_id,co_id,filing,page,note_kind,total_ntd_k,reconciles,carrying_ntd_k,side,currency,notional_ccy_k
2019-12-31,匯率交換合約,113928415.0,True,banktaiwan_life,6025,202004_6025_AI2.pdf,41,currency_risk,143838559.0,no,,,,
2019-12-31,換匯合約,108.0,True,banktaiwan_life,6025,202004_6025_AI2.pdf,105,currency_risk,50058.0,no,,,,
2019-12-31,遠期外匯合約,29669937.0,True,banktaiwan_life,6025,202004_6025_AI2.pdf,41,currency_risk,143838559.0,no,,,,
2020-06-30,匯率交換合約,108296751.0,True,banktaiwan_life,6025,202102_6025_AI2.pdf,41,currency_risk,176938885.0,yes,,,,
2020-06-30,換匯合約,108.0,True,banktaiwan_life,6025,202102_6025_AI2.pdf,111,currency_risk,50173.0,no,,,,
2020-06-30,遠期外匯合約,68642134.0,True,banktaiwan_life,6025,202102_6025_AI2.pdf,41,currency_risk,176938885.0,yes,,,,
2020-12-31,匯率交換合約,100604637.0,True,banktaiwan_life,6025,202004_6025_AI2.pdf,41,currency_risk,150700547.0,yes,,,,
2020-12-31,換匯合約,109.0,True,banktaiwan_life,6025,202104_6025_AI2.pdf,107,currency_risk,50032.0,no,,,,
2020-12-31,換匯換利合約,9529500.0,True,banktaiwan_life,6025,202004_6025_AI2.pdf,41,currency_risk,150700547.0,yes,,,,
2020-12-31,遠期外匯合約,40566410.0,True,banktaiwan_life,6025,202004_6025_AI2.pdf,41,currency_risk,150700547.0,yes,,,,
2021-06-30,匯率交換合約,108764238.0,True,banktaiwan_life,6025,202102_6025_AI2.pdf,41,currency_risk,163827369.0,yes,,,,
2021-06-30,換匯換利合約,21300000.0,True,banktaiwan_life,6025,202102_6025_AI2.pdf,41,currency_risk,163827369.0,yes,,,,
2021-06-30,遠期外匯合約,33763131.0,True,banktaiwan_life,6025,202102_6025_AI2.pdf,41,currency_risk,163827369.0,yes,,,,
2021-12-31,匯率交換合約,87080319.0,True,banktaiwan_life,6025,202104_6025_AI2.pdf,40,currency_risk,165568068.0,yes,,,,
2021-12-31,換匯換利合約,36670000.0,True,banktaiwan_life,6025,202104_6025_AI2.pdf,40,currency_risk,165568068.0,yes,,,,
2021-12-31,遠期外匯合約,41817749.0,True,banktaiwan_life,6025,202104_6025_AI2.pdf,40,currency_risk,165568068.0,yes,,,,
2022-06-30,匯率交換合約,99849245.0,True,banktaiwan_life,6025,202202_6025_AI2.pdf,41,currency_risk,172269575.0,yes,,,,
2022-06-30,換匯合約,109.0,True,banktaiwan_life,6025,202202_6025_AI2.pdf,111,currency_risk,28698.0,no,,,,
2022-06-30,換匯合約,110.0,True,banktaiwan_life,6025,202202_6025_AI2.pdf,111,currency_risk,28698.0,no,,,,
2022-06-30,換匯換利合約,36670000.0,True,banktaiwan_life,6025,202202_6025_AI2.pdf,41,currency_risk,172269575.0,yes,,,,
2022-06-30,遠期外匯合約,35750330.0,True,banktaiwan_life,6025,202202_6025_AI2.pdf,41,currency_risk,172269575.0,yes,,,,
2022-12-31,匯率交換合約,112162690.0,True,banktaiwan_life,6025,202204_6025_AI2.pdf,39,currency_risk,181149573.0,yes,,,,
2022-12-31,換匯合約,111.0,True,banktaiwan_life,6025,202304_6025_AI2.pdf,107,currency_risk,12190.0,no,,,,
